ticker,growth_rate,wacc,implied_price,upside_pct
ALFA.ST,0.10999999999999999,0.11,374.27,-30.4
ALFA.ST,0.10999999999999999,0.12,333.14,-38.0
ALFA.ST,0.145,0.08,678.82,26.3
ALFA.ST,0.145,0.09,570.0,6.0
ALFA.ST,0.145,0.1,490.33,-8.8
ALFA.ST,0.145,0.11,429.52,-20.1
ALFA.ST,0.145,0.12,381.62,-29.0
ALFA.ST,0.18,0.08,780.84,45.2
ALFA.ST,0.18,0.09,654.48,21.7
ALFA.ST,0.18,0.1,562.02,4.5
ALFA.ST,0.18,0.11,491.48,-8.6
ALFA.ST,0.18,0.12,435.94,-18.9
ALGN,0.04,0.08,246.22,56.6
ALGN,0.04,0.09,208.11,32.3
ALGN,0.04,0.1,180.17,14.6
ALGN,0.04,0.11,158.8,1.0
ALGN,0.04,0.12,141.95,-9.7
ALGN,0.075,0.08,286.27,82.0
ALGN,0.075,0.09,241.37,53.5
ALGN,0.075,0.1,208.48,32.6
ALGN,0.075,0.11,183.34,16.6
ALGN,0.075,0.12,163.52,4.0
ALGN,0.10999999999999999,0.08,331.61,110.9
ALGN,0.10999999999999999,0.09,278.99,77.4
ALGN,0.10999999999999999,0.1,240.46,52.9
ALGN,0.10999999999999999,0.11,211.04,34.2
ALGN,0.10999999999999999,0.12,187.84,19.5
ALGN,0.145,0.08,382.76,143.4
ALGN,0.145,0.09,321.4,104.4
ALGN,0.145,0.1,276.48,75.8
ALGN,0.145,0.11,242.19,54.0
ALGN,0.145,0.12,215.18,36.8
ALGN,0.18,0.08,440.28,180.0
ALGN,0.18,0.09,369.04,134.7
ALGN,0.18,0.1,316.9,101.5
ALGN,0.18,0.11,277.13,76.2
ALGN,0.18,0.12,245.81,56.3
ALLE,0.04,0.08,189.97,51.2
ALLE,0.04,0.09,160.56,27.8
ALLE,0.04,0.1,139.0,10.6
ALLE,0.04,0.11,122.52,-2.5
ALLE,0.04,0.12,109.52,-12.8
ALLE,0.075,0.08,220.87,75.8
ALLE,0.075,0.09,186.23,48.2
ALLE,0.075,0.1,160.85,28.0
ALLE,0.075,0.11,141.46,12.6
ALLE,0.075,0.12,126.16,0.4
ALLE,0.10999999999999999,0.08,255.85,103.6
ALLE,0.10999999999999999,0.09,215.26,71.3
ALLE,0.10999999999999999,0.1,185.53,47.7
ALLE,0.10999999999999999,0.11,162.82,29.6
ALLE,0.10999999999999999,0.12,144.93,15.3
ALLE,0.145,0.08,295.32,135.0
ALLE,0.145,0.09,247.97,97.4
ALLE,0.145,0.1,213.31,69.8
ALLE,0.145,0.11,186.86,48.7
ALLE,0.145,0.12,166.02,32.1
ALLE,0.18,0.08,339.7,170.4
