ticker,composite_rank,composite_score,pct_scenario,pct_rubric,pct_risk,pct_mc,pct_dcf,valuation_rank,valuation_score,tier
BIIB,27,74.2270,90.24,39.39,74.75,88.89,90.24,30,232.8989,1
REGN,28,73.2825,84.51,68.35,48.82,84.18,84.51,47,193.4469,1
FANG,29,72.9130,89.23,41.75,65.99,90.57,89.23,33,221.5331,1
LNG,30,72.2395,86.87,77.10,25.93,86.87,86.87,40,204.7239,1
DVN,31,72.2065,95.96,25.93,69.02,90.24,95.96,13,324.5832,1
MNDY,32,72.1695,83.50,98.99,7.74,83.16,83.50,50,187.3749,1
GMAB.CO,33,72.0550,74.75,80.13,54.55,74.75,74.75,76,135.0164,1
ZBRA,34,71.9705,87.21,72.39,20.20,99.66,87.21,39,204.9132,1
NDX1.DE,35,70.9435,57.58,83.16,91.92,58.25,57.58,127,77.4328,1
NVO,36,70.9280,82.83,83.84,19.53,86.20,82.83,52,185.1110,1
NGG,37,70.2870,87.88,49.16,43.77,93.94,87.88,37,209.1542,1
CHKP,38,70.2210,92.93,76.77,2.36,89.23,92.93,22,260.2889,1
JNJ,39,69.6475,65.66,64.98,86.20,65.99,65.66,103,99.6068,1
HII,40,68.4685,73.40,62.63,61.95,73.74,73.40,80,129.1013,1
NVDA,41,68.1815,56.90,99.33,60.27,56.90,56.90,129,75.8498,1
TSM,42,67.8800,52.19,88.89,84.51,52.53,52.19,143,62.4242,1
AMGN,43,67.8130,79.80,57.58,48.15,79.12,79.80,61,170.1268,1
LH,44,67.2410,84.85,65.66,21.55,83.84,84.85,46,195.6355,1
PLAB,45,67.0540,50.84,93.94,77.78,51.18,50.84,147,60.0625,1
OKE,46,66.6815,76.43,67.00,39.73,76.09,76.43,71,148.7391,1
HUM,47,66.6510,56.23,96.63,57.58,56.57,56.23,131,73.8400,1
MDT,48,66.4810,86.53,65.99,11.45,87.21,86.53,41,204.4774,1
SWK,49,66.3960,88.55,35.35,37.71,97.31,88.55,35,216.1012,1
ROP,50,66.2440,81.48,86.53,0.00,80.13,81.48,56,181.5287,1
ENGI.PA,51,66.0125,85.19,13.47,78.45,85.86,85.19,45,198.8694,1
CRUS,52,66.0100,68.69,58.92,67.00,69.36,68.69,94,111.6639,1
ET,53,65.9060,83.16,43.43,46.80,82.83,83.16,51,187.3617,1
