ticker,current_price,median_price,p10,p90,prob_50pct_up,prob_30pct_down,mean_price,std_price
CEG,267.2,401.0403918779642,328.63778919172904,485.08631425300894,50.24999999999999,0.0,404.547154615198,59.70651529110251
CFLT,30.99,19.2878841779963,15.707479961606987,23.084037546822604,0.0,78.9,19.363501670421464,2.8047409986984375
CGNX,64.26,52.03135264026397,42.22907297045435,61.87714562449024,0.0,18.85,52.10857538140643,7.568902688266834
CHKP,124.03,344.0717672362359,279.31119586212304,407.06374695196183,100.0,0.0,344.2554309816725,49.336968228038025
CI,285.27,999.3703846121846,814.3525459729583,1199.8406112398993,100.0,0.0,1002.2213347633709,146.11466791534136
CMI,696.53,992.0302754461659,803.1154348961653,1190.9095317217455,36.0,0.0,995.0089229410929,146.31575239088698
CNA.L,189.25,4.4414766202777916,3.6062683657509367,5.278726518381683,0.0,100.0,4.447967538871703,0.6390217685241062
CNC,58.27,132.51760268539857,108.5083956640997,159.0870195706546,99.85000000000001,0.0,133.41361345891963,19.285202709039595
COHR,382.45,240.38151036303015,197.22467131434905,287.6781312598998,0.0,76.7,241.39352436775712,35.00726213384856
COHU,47.14,43.45451158864161,35.29874447324969,52.18207948714561,0.0,3.9,43.670531724947246,6.298212667859423
COLO-B.CO,399.3,792.9221213579751,646.2384533494251,951.805157533941,95.8,0.0,795.2221261184307,117.76194604525224
COP,122.41,269.44909187169054,219.6952587852062,319.5721301480743,99.5,0.0,269.3112409562749,38.32038992069444
CRUS,159.71,280.41068641040107,229.46257494292888,337.38782571328915,83.7,0.0,281.9315846682641,41.1484211757528
CRWD,594.08,184.45583221690202,150.0740233819876,221.93217047147783,0.0,100.0,185.1204557564991,26.818717480675833
CVS,95.89,248.29330679793043,201.48895093985564,298.9702230926307,100.0,0.0,249.09848901225988,36.87695478630281
CVX,191.1,364.36698172533227,294.4659737091192,435.00062192336065,92.75,0.0,364.36469204599223,53.243166102426095
DDOG,207.98,84.98534494725956,69.23944227781209,101.45293294259912,0.0,100.0,85.24267819788835,12.42025090733451
DE,561.83,681.9077461843799,552.0553843985977,815.6964872436262,5.45,0.0,683.0244845951344,100.0301872093055
DEMANT.CO,235.8,444.71509376358875,360.32801196314836,535.4517918240667,91.8,0.0,446.851875873326,65.76278037179745
DGX,186.61,349.26130901189174,284.54817331177225,417.31158616387097,91.5,0.0,350.0293004479796,50.86448558859849
DHR,161.91,270.77829940022116,221.14816330750557,321.77368847629947,75.0,0.0,271.42154968044593,38.81138428972187
DIOD,100.04,150.00519349766637,121.78469433049887,178.28065876192906,50.0,0.0,149.8542437678154,21.782926384108837
DOV,210.77,348.08313544926636,282.93626681851634,414.35843715395305,72.3,0.0,348.4295142728379,50.15811934006468
DRX.L,799.5,16.809795743560514,13.678979072277011,20.050357644518446,0.0,100.0,16.872164104142115,2.431436263565485
DSY.PA,19.92,42.286027360921565,34.41341072350885,50.13362453882647,98.55000000000001,0.0,42.269200331603976,5.956659608630194
DT,38.36,67.25893106410996,54.68213573335972,80.41070201194952,83.65,0.0,67.35543703819589,9.81052434591496
DUK,120.95,213.47929928099862,173.72878363670878,256.62780646053784,85.15,0.0,214.71156742785575,31.553715889969702
DVN,49.49,157.04057661442667,127.77233056554617,188.8495637896752,100.0,0.0,157.76578586717991,23.073407285478634
DXCM,61.63,90.79096635532329,74.12693136098,108.61435317491456,45.15,0.0,91.25923178945087,13.138113846371681
EADSY,48.33,70.01390667845406,57.404333578319,83.48440083942108,41.25,0.0,70.32049323370647,10.038961386635949
ED,105.36,192.78861988363494,155.46862912134543,230.40230951371612,88.5,0.0,193.31391829395952,28.34722354486139
EDP.LS,4.276,8.79128160076155,7.250350222733495,10.469276395308977,98.3,0.0,8.834849206600142,1.248561464533478
