ticker,company,theme,metric_type,price,mkt_cap,current_metric,current_multiple,bull_cagr,bull_multiple,bull_price,bull_upside,base_cagr,base_multiple,base_price,base_upside,bear_cagr,bear_multiple,bear_price,bear_upside,weighted_price,weighted_upside,bull_prob,base_prob,bear_prob
DOV,DOV,Industrial automation & robotics,Fwd EPS,213.37,28732704768.0,11.5799,18.4x,0.18,28.0,532.7320951904,149.6752566857571,0.12,22.0,357.9163664384001,67.74446568795992,0.04,15.0,195.38718950400002,-8.42799385855555,360.9880043928,69.18404855078033,0.25,0.5,0.25
DRX.L,DRX.L,Energy transition & grids,Fwd EPS,820.9,2759992320.0,0.56453,1454.1x,0.18,28.0,25.971143938879994,-96.8362597223925,0.12,22.0,17.448728084480003,-97.87443926367645,0.04,15.0,9.5252921088,-98.83965256318675,17.59847305416,-97.85619770323304,0.25,0.5,0.25
DSY.PA,DSY.PA,Industrial automation & robotics,Fwd EPS,19.78,25976913920.0,1.40444,14.1x,0.18,28.0,64.61111613823999,226.64871657350852,0.12,22.0,43.40901576704001,119.45912925702733,0.04,15.0,23.697059942400003,19.80313418806876,43.78155190368001,121.34252731890803,0.25,0.5,0.25
DT,DT,Cybersecurity & digital trust,Fwd EPS,38.91,11341321216.0,2.25977,17.2x,0.18,28.0,103.96048383392,167.18191681809301,0.12,22.0,69.84591122432002,79.50632542873304,0.04,15.0,38.1290088192,-2.007173427910547,70.44532877544,81.04684856191213,0.25,0.5,0.25
DUK,DUK,Energy transition & grids,Fwd EPS,125.35,97722384384.0,7.16822,17.5x,0.18,28.0,329.77321560511996,163.08194304357397,0.12,22.0,221.55832573952006,76.75175567572403,0.04,15.0,120.94908933120001,-3.5108980205823537,223.45973910384004,78.26863909360992,0.25,0.5,0.25
DVN,DVN,Energy transition & grids,Fwd EPS,44.27,51042865152.0,5.35948,8.3x,0.18,28.0,246.56232001407994,456.951253702462,0.12,22.0,165.65303738368004,274.1880221000227,0.04,15.0,90.4302916608,104.26991565574878,167.07467161056,277.399303389564,0.25,0.5,0.25
DXCM,DXCM,Health Tech,Fwd EPS,70.26,27111436288.0,3.06422,22.9x,0.18,28.0,140.96912242112,100.6392291789354,0.12,22.0,94.71018647552003,34.799582231027635,0.04,15.0,51.70246149120001,-26.412665113578125,95.52298921584003,35.956432131853155,0.25,0.5,0.25
EADSY,EADSY,Industrial automation & robotics,Fwd EPS,50.38,158642208768.0,2.35318,21.4x,0.18,28.0,108.25780116927999,114.8824953737197,0.12,22.0,72.73306636288002,44.368928866375576,0.04,15.0,39.70511201280001,-21.188741538705823,73.35726147696,45.60790289194125,0.25,0.5,0.25
ED,ED,Energy transition & grids,Fwd EPS,108.01,39804895232.0,6.48943,16.6x,0.18,28.0,298.5455522492799,176.40547379805565,0.12,22.0,200.57800204288003,85.70317752326639,0.04,15.0,109.49589281280001,1.375699298953803,202.29936228696,87.29688203588555,0.25,0.5,0.25
EDP.LS,EDP.LS,Energy transition & grids,Fwd EPS,4.418,18263666688.0,0.29671,14.9x,0.18,28.0,13.650112692159999,208.96588257492073,0.12,22.0,9.170836111360002,107.57890700226352,0.04,15.0,5.0063759616,13.317699447713881,9.24954021912,109.36034900679039,0.25,0.5,0.25
EDPR.LS,EDPR.LS,Energy transition & grids,Fwd EPS,14.2,14924669952.0,0.47666,29.8x,0.18,28.0,21.928693727359995,54.42742061521124,0.12,22.0,14.732805570560004,3.7521519053521413,0.04,15.0,8.0426651136,-43.36151328450703,14.859242495520002,4.642552785352128,0.25,0.5,0.25
ELV,ELV,Health Tech,Fwd EPS,391.47,85012561920.0,29.2475,13.4x,0.18,28.0,1345.5281957599998,243.7117009630367,0.12,22.0,903.9938969600001,130.92290519324598,0.04,15.0,493.49189759999996,26.061230132577194,911.75197182,132.90468537052647,0.25,0.5,0.25
EMR,EMR,Industrial automation & robotics,Fwd EPS,139.72,78257168384.0,7.15436,19.5x,0.18,28.0,329.1355877465599,135.56798435911816,0.12,22.0,221.12993509376005,58.26648661162328,0.04,15.0,120.71523010560001,-13.602039718293724,223.02767200992,59.624729466017754,0.25,0.5,0.25
ENEL.MI,ENEL.MI,Energy transition & grids,Fwd EPS,9.582,95084707840.0,0.74901,12.8x,0.18,28.0,34.45812715295999,259.6130990707575,0.12,22.0,23.150712668160008,141.6062687138385,0.04,15.0,12.638015769599999,31.893297532874108,23.34939206472,143.67973350782717,0.25,0.5,0.25
