ticker,beta,volatility,max_drawdown,return_1y,sharpe,spy_correlation
JNJ,0.01,0.1773,-0.1445,0.5469,2.83,0.01
KLAC,1.95,0.4769,-0.3495,1.4964,3.04,0.68
KLIC,1.66,0.4598,-0.4729,2.2911,4.88,0.61
KMI,0.47,0.2303,-0.184,0.1903,0.63,0.34
KNEBV.HE,-0.07,0.3339,-0.2662,-0.0674,-0.34,-0.03
KTOS,1.25,0.5834,-0.6015,0.5031,0.79,0.36
KULR,2.19,1.3939,-0.9474,-0.5083,-0.4,0.26
LAES,2.7,1.763,-0.7698,-0.0492,-0.05,0.26
LASR,2.08,0.7592,-0.5613,4.2578,5.55,0.46
LDO.MI,0.42,0.4075,-0.2376,-0.003,-0.12,0.17
LDOS,0.49,0.2994,-0.3805,-0.1355,-0.6,0.27
LECO,1.08,0.3003,-0.2338,0.3571,1.04,0.6
LEU,2.0,0.9629,-0.6135,0.4088,0.38,0.35
LH,0.54,0.2356,-0.1736,0.0538,0.04,0.38
LHX,0.39,0.2325,-0.2598,0.268,0.96,0.28
LLY,0.71,0.3811,-0.3447,0.5038,1.2,0.31
LMT,0.16,0.2509,-0.3179,0.1443,0.4,0.1
LNG,0.39,0.2841,-0.2487,0.0068,-0.13,0.23
LONN.SW,0.03,0.2405,-0.2333,-0.1146,-0.66,0.02
LR.PA,0.04,0.2859,-0.2052,0.39,1.21,0.02
LRCX,2.14,0.5144,-0.471,2.8273,5.41,0.69
LSCC,2.3,0.5931,-0.5117,2.0924,3.45,0.65
LUNR,2.72,1.1517,-0.7191,2.1915,1.86,0.39
LWLG,1.66,1.1494,-0.8,9.7407,8.44,0.24
MDA.TO,1.01,0.5832,-0.5377,1.2373,2.04,0.29
MDB,1.59,0.6791,-0.5834,0.5584,0.76,0.39
MDT,0.37,0.206,-0.2814,-0.0343,-0.39,0.3
MNDY,1.53,0.6204,-0.8207,-0.7445,-1.27,0.41
MNTS,2.47,2.152,-0.9878,-0.3724,-0.19,0.19
MOH,0.08,0.5276,-0.66,-0.4221,-0.89,0.02
MPC,0.71,0.3386,-0.3333,0.5517,1.5,0.35
MPWR,2.39,0.5731,-0.5165,1.3814,2.33,0.7
MRK,0.32,0.2743,-0.4344,0.606,2.04,0.2
MRNA,1.36,0.6644,-0.8556,0.7791,1.11,0.34
MRVL,2.41,0.6569,-0.6079,2.1219,3.16,0.61
MTZ,1.58,0.4232,-0.3403,1.4931,3.42,0.62
MU,2.32,0.6543,-0.5763,8.6559,13.16,0.59
MVIS,1.93,0.9057,-0.7088,-0.4576,-0.55,0.36
MXL,2.52,0.9823,-0.6395,7.4887,7.58,0.43
NCC.L,0.19,0.3274,-0.3611,-0.0938,-0.42,0.1
NDSN,1.0,0.2517,-0.3616,0.4786,1.72,0.66
NDX1.DE,0.06,0.4391,-0.2994,1.2999,2.86,0.02
NEE,0.28,0.2676,-0.2383,0.3265,1.05,0.17
NET,1.56,0.5491,-0.45,0.2934,0.45,0.47
NEX.PA,-0.01,0.3806,-0.4226,0.6088,1.48,-0.0
NGG,0.21,0.2268,-0.1905,0.1988,0.68,0.15
NOC,0.06,0.257,-0.296,0.1782,0.52,0.04
NOD.OL,-0.01,0.4713,-0.4079,0.6667,1.32,-0.0
NOVN.SW,-0.04,0.1914,-0.1686,0.2994,1.33,-0.04
NOW,1.16,0.4435,-0.6454,-0.503,-1.24,0.44
NRG,1.57,0.498,-0.3257,-0.1105,-0.31,0.53
NVAX,1.5,0.8194,-0.7411,0.5027,0.56,0.31
NVDA,2.01,0.4801,-0.3688,0.5694,1.09,0.7
NVMI,2.06,0.5628,-0.4079,1.5854,2.74,0.61
NVO,0.96,0.477,-0.747,-0.337,-0.8,0.33
OKE,0.66,0.2855,-0.4217,0.1386,0.33,0.38
OKLO,2.79,1.2069,-0.7383,0.2583,0.18,0.39
OKTA,1.14,0.4653,-0.5057,-0.2869,-0.71,0.41
OLED,1.64,0.4548,-0.6231,-0.3656,-0.9,0.6
ON,2.05,0.5609,-0.5942,1.8776,3.27,0.61
ONTO,2.39,0.6468,-0.6282,1.7787,2.68,0.62
ORSTED.CO,-0.03,0.5668,-0.7694,-0.4174,-0.82,-0.01
OTIS,0.45,0.2275,-0.3089,-0.2456,-1.28,0.33
OXIG.L,0.33,0.3386,-0.436,0.7332,2.03,0.16
OXY,0.58,0.3417,-0.4255,0.3965,1.03,0.28
PANW,1.17,0.363,-0.3601,0.3255,0.77,0.54
PATH,1.36,0.6007,-0.5137,-0.1192,-0.27,0.38
PD,1.26,0.5064,-0.7501,-0.5562,-1.19,0.42
PFE,0.4,0.2405,-0.29,0.1877,0.59,0.28
PH,1.27,0.3005,-0.2679,0.288,0.81,0.71
PI,2.06,0.7031,-0.7379,0.3554,0.44,0.49
PL,2.13,0.9772,-0.5439,11.7154,11.94,0.36
PLAB,1.96,0.6081,-0.4045,1.6675,2.67,0.54
PLTR,1.98,0.625,-0.4061,0.0739,0.05,0.53
PNR,1.09,0.2926,-0.3556,-0.2661,-1.06,0.62
PODD,0.73,0.386,-0.5862,-0.553,-1.55,0.32
POWI,1.65,0.5117,-0.5986,0.7312,1.34,0.54
PRY.MI,0.49,0.3838,-0.4354,1.6037,4.06,0.21
PSX,0.78,0.3296,-0.3523,0.5798,1.62,0.4
PWR,1.3,0.3935,-0.3389,1.145,2.8,0.55
QBTS,2.61,1.4371,-0.7101,0.5658,0.36,0.3
QCOM,1.63,0.4405,-0.4423,0.6071,1.28,0.62
QLYS,0.83,0.4197,-0.5214,-0.2852,-0.79,0.33
QRVO,1.69,0.4775,-0.6068,0.3504,0.64,0.59
QUBT,2.24,1.753,-0.824,-0.1215,-0.1,0.21
RDW,2.85,1.1287,-0.8028,0.5066,0.41,0.42
REGN,0.65,0.3535,-0.5969,0.0463,0.0,0.31
RGTI,2.88,1.5037,-0.771,0.735,0.46,0.32
RHM.DE,-0.14,0.4638,-0.4311,-0.3121,-0.77,-0.05
RKLB,2.51,0.9101,-0.4815,4.2236,4.59,0.46
RMBS,2.51,0.6802,-0.4286,1.7,2.43,0.62
RMD,0.63,0.286,-0.3201,-0.1547,-0.7,0.37
ROK,1.23,0.3272,-0.2778,0.4773,1.32,0.63
ROP,0.61,0.2294,-0.4651,-0.444,-2.13,0.44
RR.L,0.21,0.3656,-0.2178,0.5266,1.32,0.1
RSW.L,0.38,0.3657,-0.4799,1.0452,2.74,0.17
RTX,0.51,0.2495,-0.1932,0.3369,1.17,0.34
RWE.DE,0.07,0.249,-0.2006,0.6978,2.62,0.05
RXRX,2.58,0.8395,-0.7387,-0.2779,-0.38,0.51
S,1.4,0.4819,-0.5837,-0.1061,-0.31,0.49
SAF.PA,-0.01,0.2965,-0.2362,0.1425,0.33,-0.01
SAN.PA,0.12,0.2269,-0.278,-0.077,-0.54,0.09
SAND.ST,0.01,0.2689,-0.2784,0.9046,3.2,0.01
SATL,2.01,1.2067,-0.7321,1.3429,1.08,0.28
SATS,1.3,0.8877,-0.488,5.0504,5.64,0.24
SIDU,2.2,2.2588,-0.8868,3.0298,1.32,0.16
SIE.DE,-0.04,0.3201,-0.2733,0.319,0.86,-0.02
SITM,2.71,0.7892,-0.5526,2.6272,3.27,0.57
SLAB,1.67,0.5594,-0.457,0.7392,1.24,0.5
SLB,1.02,0.3452,-0.3439,0.7161,1.94,0.49
SMCI,2.31,0.9757,-0.8042,-0.0813,-0.13,0.4
SMIN.L,0.27,0.241,-0.2287,0.1516,0.44,0.19
SMR,2.93,1.1187,-0.8286,-0.6602,-0.63,0.44
SMTC,2.55,0.7501,-0.6845,3.0536,4.01,0.57
SN.L,0.19,0.2734,-0.2517,0.0435,-0.01,0.12
SNOW,1.42,0.548,-0.563,-0.1507,-0.36,0.43
SNPS,1.58,0.492,-0.4104,0.0276,-0.04,0.54
SO,-0.03,0.1743,-0.1499,0.0766,0.18,-0.03
SPCE,1.81,0.8956,-0.8967,0.0646,0.02,0.34
SPIR,1.94,0.9921,-0.6622,1.3527,1.32,0.33
SPX.L,0.31,0.3054,-0.399,0.2199,0.57,0.17
SRPT,1.37,0.8844,-0.9272,-0.5651,-0.69,0.26
