ticker,year,revenue,net_income,free_cash_flow,gross_margin_pct,operating_margin_pct,total_debt,stockholders_equity,roe_pct,as_of
FSLR,2024,4206289000.0,1292044000.0,-308077000.0,44.16871974322259,33.13455162020489,718802000.0,7977577000.0,16.2,2026-05-28T08:25:31Z
FSLR,2023,3318602000.0,830777000.0,-784515000.0,39.193582116807015,26.69717549739318,624389000.0,6687469000.0,12.42,2026-05-28T08:25:31Z
FSLR,2022,2619319000.0,-44166000.0,-30236000.0,2.667029101839066,-10.718320296229669,234131000.0,5836055000.0,-0.76,2026-05-28T08:25:31Z
FSLR,2021,,,,,,,,,2026-05-28T08:25:31Z
MPC,2025,132699000000.0,4047000000.0,4767000000.0,7.5373589853729115,4.346679326897716,34358000000.0,17314000000.0,23.37,2026-05-28T08:25:32Z
MPC,2024,138864000000.0,3445000000.0,6132000000.0,6.687838460652149,3.779237239313285,28758000000.0,17745000000.0,19.41,2026-05-28T08:25:32Z
MPC,2023,148379000000.0,9681000000.0,12227000000.0,11.124215690899655,8.482332405529084,28501000000.0,24404000000.0,39.67,2026-05-28T08:25:32Z
MPC,2022,177453000000.0,14516000000.0,13941000000.0,12.717170180273087,10.690154576141287,27909000000.0,27715000000.0,52.38,2026-05-28T08:25:32Z
MPC,2021,,,,,,,,,2026-05-28T08:25:32Z
NDX1.DE,2025,7553549000.0,274452000.0,844141000.0,26.99121962404692,7.694052160117052,488861000.0,1277440000.0,21.48,2026-05-28T08:25:33Z
NDX1.DE,2024,7298825000.0,8836000.0,265563000.0,21.03041242939788,2.6635109075775896,500562000.0,990652000.0,0.89,2026-05-28T08:25:33Z
NDX1.DE,2023,6489068000.0,-302831000.0,28317000.0,15.177002306032238,-2.6183266996123327,475071000.0,976596000.0,-31.01,2026-05-28T08:25:33Z
NDX1.DE,2022,5693561000.0,-497761000.0,-555462000.0,8.53681904874647,-9.227933098459822,581892000.0,878059000.0,-56.69,2026-05-28T08:25:33Z
NDX1.DE,2021,,,,,,,,,2026-05-28T08:25:33Z
VLO,2025,122687000000.0,2348000000.0,5030000000.0,4.376176775045441,3.5146348023833007,11703000000.0,23725000000.0,9.9,2026-05-28T08:25:35Z
VLO,2024,129881000000.0,2770000000.0,5776000000.0,3.664893248435106,2.8911080142592067,11540000000.0,24512000000.0,11.3,2026-05-28T08:25:35Z
VLO,2023,144766000000.0,8835000000.0,8318000000.0,8.903333655692634,8.191149855629083,12637000000.0,26346000000.0,33.53,2026-05-28T08:25:35Z
VLO,2022,176383000000.0,11528000000.0,10893000000.0,9.496946984686733,8.929998922798683,12722000000.0,23561000000.0,48.93,2026-05-28T08:25:35Z
VLO,2021,,,,,,,,,2026-05-28T08:25:35Z
