ticker,short_name,currency,exchange,quote_type,sector,industry,market_cap,enterprise_value,trailing_pe,forward_pe,price_to_book,profit_margins,revenue_growth,earnings_growth,last_close_5d,fifty_two_week_high,fifty_two_week_low,cik,sec_edgar_url,sec_company_search_url,regulatory_lookup_url,data_source
LR.PA,LEGRAND,EUR,PAR,EQUITY,Industrials,Electrical Equipment & Parts,39758200832.0,44455346176.0,31.360826,23.516497,5.455719,0.13205,0.114,0.138,152.100006,166.95,104.9,,,https://www.sec.gov/edgar/searchedgar/companysearch.html?q=LR.PA,https://www.google.com/search?q=LR.PA%20investor%20relations%20annual%20report,yfinance (indicative)
LDOS,"Leidos Holdings, Inc.",USD,NYQ,EQUITY,Technology,Information Technology Services,15558404096.0,22096404480.0,11.31656,9.39955,3.103578,0.08154,0.037,-0.076,123.690002,205.77,121.53,,,https://www.sec.gov/edgar/searchedgar/companysearch.html?q=LDOS,,yfinance (indicative)
LDO.MI,LEONARDO,EUR,MIL,EQUITY,Industrials,Aerospace & Defense,28266676224.0,32532514816.0,21.96861,17.795328,2.892826,0.05098,0.069,-0.571,48.990002,66.26,43.15,,,https://www.sec.gov/edgar/searchedgar/companysearch.html?q=LDO.MI,https://www.google.com/search?q=LDO.MI%20investor%20relations%20annual%20report,yfinance (indicative)
LWLG,"Lightwave Logic, Inc.",USD,NCM,EQUITY,Basic Materials,Specialty Chemicals,2055836032.0,2030636416.0,,,26.71233,0.0,0.273,,13.65,18.71,0.92,,,https://www.sec.gov/edgar/searchedgar/companysearch.html?q=LWLG,,yfinance (indicative)
LECO,"Lincoln Electric Holdings, Inc.",USD,NMS,EQUITY,Industrials,Tools & Accessories,14295054336.0,15360991232.0,26.954546,21.635517,9.459107,0.12378,0.117,0.176,260.920013,310.0,188.65,,,https://www.sec.gov/edgar/searchedgar/companysearch.html?q=LECO,,yfinance (indicative)
LMT,Lockheed Martin Corporation,USD,NYQ,EQUITY,Industrials,Aerospace & Defense,118973136896.0,137776119808.0,25.000486,16.08341,15.847487,0.06382,0.003,-0.115,516.01001,692.0,410.11,,,https://www.sec.gov/edgar/searchedgar/companysearch.html?q=LMT,,yfinance (indicative)
LONN.SW,LONZA N,CHF,EBS,EQUITY,Healthcare,Diagnostics & Research,32784881664.0,36797882368.0,36.107693,21.541328,4.143166,-0.04211,,,469.399994,594.8,454.6,,,https://www.sec.gov/edgar/searchedgar/companysearch.html?q=LONN.SW,https://www.google.com/search?q=LONN.SW%20investor%20relations%20annual%20report,yfinance (indicative)
LITE,Lumentum Holdings Inc.,USD,NMS,EQUITY,Technology,Communication Equipment,75520458752.0,69740593152.0,169.40663,53.92763,81.86725,0.17678,0.901,,970.700012,1085.68,71.04,,,https://www.sec.gov/edgar/searchedgar/companysearch.html?q=LITE,,yfinance (indicative)
MPC,Marathon Petroleum Corporation,USD,NYQ,EQUITY,Energy,Oil & Gas Refining & Marketing,74452598784.0,113301602304.0,16.77829,11.393874,4.345226,0.03407,0.088,,255.029999,261.61,154.65,,,https://www.sec.gov/edgar/searchedgar/companysearch.html?q=MPC,,yfinance (indicative)
MAR,Marriott International,USD,NMS,EQUITY,Consumer Cyclical,Lodging,93126918144.0,110078910464.0,37.019917,26.988222,-22.845592,0.35969,0.126,0.017,353.170013,380.0,253.56,,,https://www.sec.gov/edgar/searchedgar/companysearch.html?q=MAR,,yfinance (indicative)
MRVL,"Marvell Technology, Inc.",USD,NMS,EQUITY,Technology,Semiconductors,154876592128.0,156806430720.0,57.43182,32.611984,10.474922,0.32584,0.221,1.063,176.889999,192.15,58.61,,,https://www.sec.gov/edgar/searchedgar/companysearch.html?q=MRVL,,yfinance (indicative)
MTZ,"MasTec, Inc.",USD,NYQ,EQUITY,Industrials,Engineering & Construction,32784799744.0,35226697728.0,72.40838,35.422333,9.911137,0.02945,0.345,5.08,414.899994,441.43,145.46,,,https://www.sec.gov/edgar/searchedgar/companysearch.html?q=MTZ,,yfinance (indicative)
MXL,"MaxLinear, Inc",USD,NMS,EQUITY,Technology,Semiconductors,8268673536.0,8358773760.0,,49.428047,18.202246,-0.25959,0.43,,92.339996,104.27,10.96,,,https://www.sec.gov/edgar/searchedgar/companysearch.html?q=MXL,,yfinance (indicative)
MDT,Medtronic plc.,USD,NYQ,EQUITY,Healthcare,Medical Devices,97767841792.0,117666840576.0,21.27095,12.560059,1.995075,0.13,0.087,-0.118,76.150002,106.33,74.4,,,https://www.sec.gov/edgar/searchedgar/companysearch.html?q=MDT,,yfinance (indicative)
MEL.BR,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/edgar/searchedgar/companysearch.html?q=MEL.BR,,yfinance (indicative)
MELI,"MercadoLibre, Inc.",USD,NMS,EQUITY,Consumer Cyclical,Internet Retail,78418911232.0,85130911744.0,40.812927,25.69946,10.770383,0.06037,0.49,-0.156,1546.810059,2645.22,1495.0,,,https://www.sec.gov/edgar/searchedgar/companysearch.html?q=MELI,,yfinance (indicative)
MRK,"Merck & Company, Inc.",USD,NYQ,EQUITY,Healthcare,Drug Manufacturers - General,275089031168.0,318557028352.0,31.374647,11.696177,5.995908,0.13586,0.049,,111.379997,125.14,75.4,,,https://www.sec.gov/edgar/searchedgar/companysearch.html?q=MRK,,yfinance (indicative)
HOLO,MicroCloud Hologram Inc.,USD,NCM,EQUITY,Technology,Electronic Components,38721888.0,-2648606464.0,,,0.099227,-0.13058,0.51,,1.69,11.82,1.535,,,https://www.sec.gov/edgar/searchedgar/companysearch.html?q=HOLO,,yfinance (indicative)
MU,"Micron Technology, Inc.",USD,NMS,EQUITY,Technology,Semiconductors,817223696384.0,813432766464.0,34.246693,7.064195,11.281037,0.41486,1.963,7.56,724.659973,818.67,90.93,,,https://www.sec.gov/edgar/searchedgar/companysearch.html?q=MU,,yfinance (indicative)
MVIS,"Microvision, Inc.",USD,NGM,EQUITY,Technology,Scientific & Technical Instruments,182063984.0,191942384.0,,-2.930527,4.35,0.0,0.587,,0.56,1.73,0.51,,,https://www.sec.gov/edgar/searchedgar/companysearch.html?q=MVIS,,yfinance (indicative)
MRNA,"Moderna, Inc.",USD,NMS,EQUITY,Healthcare,Biotechnology,19458398208.0,15551397888.0,,-11.7841,2.233761,-1.43551,2.602,,49.040001,59.55,22.28,,,https://www.sec.gov/edgar/searchedgar/companysearch.html?q=MRNA,,yfinance (indicative)
MOH,Molina Healthcare Inc,USD,NYQ,EQUITY,Healthcare,Healthcare Plans,9637979136.0,4333979136.0,49.462566,20.143736,2.357702,0.00436,-0.043,-0.95,184.990005,327.68,121.06,,,https://www.sec.gov/edgar/searchedgar/companysearch.html?q=MOH,,yfinance (indicative)
MNTS,Momentus Inc.,USD,NCM,EQUITY,Industrials,Aerospace & Defense,33681032.0,40577568.0,,-0.601545,0.688566,0.0,8.984,,5.45,43.57143,3.11,,,https://www.sec.gov/edgar/searchedgar/companysearch.html?q=MNTS,,yfinance (indicative)
